  A Bad Haircut,dreadful,awful,terrible,horrible,horrific
A Bull Fight,violent,brutal,aggressive,cruel,barbaric
A Car Crash,accident,collision,wreck,smash,disaster
A Cheap Motel,inexpensive,affordable,economical,budget,low-cost
A Crawl Space,confined,cramped,tight,enclosed,narrow
A Dozen Red Roses,12 red roses,bunch of roses,floral arrangement,rose bouquet,flower bunch
A Flat Tire,punctured tire,deflated tire,blowout,flat tyre,tyre burst
A Full Moon,bright moon,lunar orb,luminous moon,moonlight,moonshine
A Haunted House,spooky house,creepy mansion,ghostly dwelling,haunted mansion,scary residence
A High School Bathroom,school lavatory,secondary school restroom,teenage washroom,educational facility toilet,youthful WC
A Honeymoon,romantic trip,bridal vacation,post-wedding getaway,newlywed retreat,lovers' holiday
A Locker Room,changing room,dressing area,sports changing room,athletic locker room,fitness changing area
A Morgue,funeral home,mortuary,deadhouse,coroner's office,death chamber
A Nine Iron,iron golf club,golf iron,nine-iron club,wedge club,short iron
A School Bus,educational vehicle,student transport,children's bus,school coach,youth transport
A School Cafeteria,educational dining hall,student canteen,children's lunchroom,school eatery,youth dining area
A Sunrise,dawn,sunup,morning sun,sun's first light,daybreak
A Sunset,dusk,evening sun,twilight,sundown,nightfall
A Tree House,elevated hut,arboreal dwelling,wooden hideaway,treetop abode,foliage retreat
A Used Car Lot,pre-owned vehicle dealership,secondhand automobile yard,previously owned car sales,second-user auto market,car reseller
Abraham Lincoln,honest,emancipator,presidential,bearded,civil-rights leader
Adam Sandler,comedian,actor,funny,entertainer,producer
Adolph Hitler,dictator,tyrant,world-war,infamous,oppressor
AIDS,viral,deadly,immune-system,global-health issue,chronic
Airline Food,in-flight meal,economy class,packaged,quick-serve,snack
Al Pacino,actor,dramatic,scarface,Godfather,thespian
Albert Einstein,genius,physicist,theoretical,scientific,brilliant
Alfred Hitchcock,director,suspense,master of suspense,innovative,psychological thriller
Alien Abductions,extraterrestrial,unexplained,sci-fi,mysterious,abduction
Americans,citizens,diverse,U.S. citizens,national,from United States
Amputations,surgical removal,medical procedure,loss of limb,disability,severe injury
Angry Hornets,aggressive,stinging,invasive,dangerous,swarming
Andy Warhol,pop art,artist,innovative,1960s,cultural icon
Anne Frank,diarist,historical figure,holocaust,victim,jewish
Antarctica,frozen,continent,south pole,ice-covered,remote
Anthony Hopkins,actor,distinguished,sir,oscar-winning,versatile
Apple Pie,traditional,desert,classic,American,sweet
Apples,fruit,orchard,crisp,healthy,red and green
Armed Robbery,theft,crime,violent,dangerous,criminal act
Assembly Lines,manufacturing,industrial,production,efficient,factory
At My Parent's House,family home,welcoming,cozy,memorable,childhood
Atlantis,mythical,lost city,underwater,legendary,ancient
Atomic Bombs,nuclear,destructive,world-war,explosive,historic
Attack On Pearl Harbor,historical,infamous,surprise attack,World War II,tragic
Austin Powers,spy,comedy,1960s,groovy,parody
Australian Outback,remote,wilderness,desolate,rugged,Outback
Babe Ruth,baseball,legendary,sports icon,homerun,The Great Bambino
Babies,newborn,infants,adorable,beginning,life
Baby Showers,celebration,pregnancy,gift-giving,family,expecting
Backstreet Boys,boy band,pop music,90s,musical group,harmony
Bad Dogs,misbehaved,untrained,naughty,problematic,barking
Bagpipes,Scottish,musical instrument,wind,traditional,cultural
Baked Beans,comfort food,side dish,oven-cooked,hearty,classic
Baked Potatoes,stuffed,oven-roasted,comfort food,fluffy,side dish
Baking Cookies,home-made,sweet,oven-baked,aromatic,tradition
Bald Eagles,national symbol,freedom,bird of prey,conservation,iconic
Ballerinas,dancer,graceful,performer,classical ballet,artistic
Bangkok,capital,Thailand,vibrant,urban,exotic
Bankruptcy,financial failure,insolvency,debt,legal,reset
Barbara Walters,journalist,television,news anchor,interviewer,pioneering
Barbed Wire,security barrier,sharp,protective fencing,metallic,entanglement
Barfing,vomiting,sick,nauseous,upchucking,retching
Barney,purple dinosaur,children's show,friendly,educational,TV character
Bart Simpson,animated,prankster,yellow-skinned,Matt Groening,Springfield
Bates Motel,creepy,horror,Psycho,mysterious,motel
Batman,Dark Knight,Gotham,superhero,cape crusader,DC Comics
Bats,nocturnal,flying mammals,echolocation,cave dwellers,night creatures
Beach Parties,fun in the sun,sand,summer,oceanfront,celebration
Beanie Babies,collectibles,plush toys,Ty,90s craze,soft animals
Beauty And The Beast,fairytale,Disney,romance,enchanted,classic story
Beer,brew,ale,hops,barley,malt
Beer Bellies,paunch,overweight,abdominal fat,bulge,hefty midsection
Beethoven,classical music,composer,Ludwig van,symphonies,pianist
Beets,root vegetable,earthy,red vegetables,nutritious,beetroot
Being In Love,romantic,affection,passion,deep affection,amorous
Bell-Bottoms,70s fashion,flared,retro,trousers,wide-legged
Ben Stiller,comedian,actor,director,Zoolander,Meet the Parents
Berlin,German capital,cultural hub,historic,Europe,urban
Big Bang Theory,astronomy,cosmology,origin of universe,science,theory
Big Macs,McDonald's,burger,fast food,special sauce,double patty
Bigfoot,Sasquatch,mythical creature,cryptid,legend,forest giant
Bill Clinton,president,1990s,Arkansas,Lewinsky scandal,Democrat
Bill Gates,microsoft,philanthropist,billionaire,tech mogul,innovator
Bill Murray,actor,comedian,Ghostbusters,SNL,Groundhog Day
Billboards,outdoor advertising,large-scale,public,visual,marketing
Bingo,game of chance,numbers,community game,luck,entertainment
Bird Watching,birding,ornithology,nature observation,feathered friends,conservation
Black Holes,astronomical,space mystery,gravity,cosmic,singularity
Black Velvet,luxurious,smooth,rich texture,dark fabric,elegant
Blizzard,snowstorm,severe,whiteout,cold snap,wintry
Blood,life-fluid,circulatory,critical,essential,vital
Board Games,tabletop,strategy,entertainment,family night,competitive
Body Odor,human scent,perspiration,natural smell,unpleasant,hygiene
Body Piercing,adornment,modification,jewelry,expressive,cultural
Body Surfing,ocean wave riding,beach activity,natural,thrilling,coastal sport
Bonbons,chocolate treats,sweet confectionery,decadent,candy,gourmet
Bongos,percussion instruments,Cuban,drumming,rhythmic,musical
Bottled Water,drinking water,convenience,plastic,hydration,portable
Boxing,combat sport,fisticuffs,ring match,athletic competition,pugilism
Boy Scouts,scouting,youth organization,outdoors,merit badges,leadership development
Boyfriends,romantic,lovable,endearing,naughty,faithful
Brad Pitt,famous,attractive,charming,wealthy,talented
Brain Surgeons,intelligent,skilled,meticulous,dedicated,respected
Brains,intelligent,complex,sophisticated,vital,innovative
Britney Spears,famous,talented,dramatic,controversial,iconic
Broadway,glamorous,artistic,cultural,entertaining,historic
Bruce Willis,tough,charismatic,action-packed,resilient,versatile
Bubble Gum,flavorful,fun,sticky,sweet,youthful
Bubbles,delightful,ephemeral,shiny,playful,light
Bullwinkle,comic,classic,entertaining,whimsical,animated
